,"('Ala', 'Zmax')","('Ala', 'Zmin')","('Ser', 'Zmax')","('Ser', 'Zmin')","('Gly', 'Zmax')","('Gly', 'Zmin')"
725,11,1,10,3,12,1
726,12,1,12,3,12,5
727,12,1,10,3,12,5
728,11,1,12,4,12,5
729,11,1,12,3,12,5
730,11,1,12,3,12,1
731,12,1,12,3,12,2
732,12,1,12,3,12,5
733,11,1,10,3,12,5
734,12,1,10,3,12,1
735,11,1,10,3,12,5
736,10,1,10,3,12,3
737,12,1,12,3,12,5
738,11,1,10,3,12,1
739,11,1,10,3,12,2
740,11,1,12,3,11,2
741,10,1,12,4,11,4
742,11,1,12,3,12,4
743,11,1,11,3,12,3
744,12,1,12,3,10,3
745,11,1,12,3,12,3
746,11,1,12,3,12,1
747,12,1,10,3,12,3
748,11,1,12,4,12,1
749,11,1,12,3,12,1
750,10,1,10,3,12,1
751,11,1,10,3,12,1
752,11,1,12,3,12,1
753,11,1,10,3,12,1
754,11,1,12,3,12,1
755,12,1,12,3,12,1
756,11,1,10,3,12,1
757,11,1,10,3,12,1
758,11,1,12,3,12,1
759,12,1,10,3,12,1
760,11,1,10,3,12,1
761,11,1,10,3,12,1
762,11,1,12,3,12,1
763,12,1,10,3,12,1
764,12,1,12,3,12,1
765,12,1,12,3,12,1
766,12,1,12,3,12,1
767,12,1,12,3,12,1
768,12,1,12,3,12,1
769,12,1,12,3,12,1
770,12,1,12,3,12,1
771,12,1,12,3,12,1
772,12,1,12,3,12,1
773,12,1,10,3,12,1
774,12,1,12,3,12,1
775,11,1,12,3,12,1
776,12,1,12,3,12,1
777,12,1,12,3,12,1
778,11,1,12,3,12,1
779,11,1,12,3,12,1
780,11,1,12,3,12,1
781,11,1,12,3,12,1
782,11,1,12,3,12,1
783,11,1,12,3,12,1
784,11,1,12,3,12,1
785,11,1,12,3,12,1
786,11,1,12,3,12,1
787,11,1,12,3,12,1
788,11,1,12,3,12,1
789,11,1,12,3,12,1
790,11,1,12,3,12,1
791,11,1,12,3,12,1
792,12,1,12,3,12,1
793,11,1,12,3,12,1
794,10,1,12,3,11,1
795,11,1,12,3,12,1
796,11,1,12,3,12,1
797,11,1,12,3,12,1
798,10,1,12,3,12,1
799,11,1,12,3,12,1
800,11,1,12,3,12,1
801,11,1,12,3,12,1
802,12,1,12,3,12,1
803,10,1,12,3,12,1
804,12,1,12,3,12,1
805,10,1,12,3,12,1
806,11,1,12,3,12,1
807,10,1,12,3,12,1
808,11,1,12,3,12,1
809,10,1,12,3,8,1
810,11,1,12,3,8,1
811,12,1,12,3,8,1
812,11,1,12,3,8,1
813,11,1,12,3,8,1
814,11,1,12,3,8,1
815,10,1,12,3,8,1
816,11,1,12,3,9,1
817,11,1,12,3,8,1
818,11,1,12,3,8,1
819,11,2,12,3,6,12
820,11,2,12,3,6,1
821,11,2,12,3,9,1
822,11,2,12,3,10,1
823,10,1,12,3,11,1
824,10,1,12,3,10,1
825,11,1,12,3,12,1
826,11,1,12,3,12,1
827,12,1,12,3,12,1
828,12,1,12,3,12,1
829,11,1,12,3,12,1
830,11,1,12,3,12,2
831,11,1,12,3,12,5
832,11,1,12,3,12,5
833,12,1,12,3,12,4
834,11,1,12,3,12,5
835,10,1,12,3,12,7
836,11,1,12,3,12,6
837,11,1,12,3,12,5
838,11,1,12,3,12,5
839,12,1,12,3,12,5
840,12,1,12,3,12,7
841,11,1,12,3,12,4
842,11,1,12,3,10,5
843,11,2,12,3,12,7
844,12,1,12,3,12,5
845,12,1,12,3,11,5
846,11,1,12,3,12,5
847,11,1,12,3,12,5
848,11,1,12,3,12,4
849,11,1,12,3,12,1
850,11,1,12,3,12,1
851,10,1,12,3,12,1
852,11,1,12,3,12,4
853,11,1,12,3,12,1
854,11,1,12,3,12,1
855,12,1,12,3,12,3
856,12,1,12,3,12,1
857,11,2,12,3,11,1
858,11,1,12,3,12,2
859,11,1,12,3,12,2
860,11,1,12,3,12,1
861,12,1,12,3,12,1
862,12,1,12,3,12,1
863,11,1,12,3,12,1
864,11,1,12,3,12,2
865,12,1,12,3,12,1
866,12,1,12,3,12,1
867,11,1,12,3,12,1
868,11,1,12,3,12,1
869,11,1,12,3,12,1
870,11,1,12,3,12,1
871,11,1,12,3,12,1
872,12,1,12,3,12,1
873,12,1,12,3,12,1
874,11,1,12,3,11,1
875,11,1,12,3,12,2
876,10,1,12,3,12,1
877,10,1,12,3,12,1
878,12,1,12,3,12,1
879,11,1,12,3,12,3
880,12,1,12,3,12,3
881,10,1,12,4,12,3
882,11,1,12,3,12,1
883,11,1,12,3,12,3
884,12,1,12,3,10,1
885,12,1,12,3,12,3
886,12,1,12,3,12,1
887,12,2,12,3,12,1
888,12,1,12,3,12,1
889,12,1,12,3,12,1
890,12,1,12,3,12,3
891,10,1,12,3,12,1
892,11,1,12,3,12,1
893,11,1,12,3,12,7
894,11,1,12,3,12,5
895,11,1,12,3,12,1
896,12,1,12,3,12,1
897,11,1,12,3,12,1
898,12,1,12,3,12,1
899,10,1,12,3,12,1
900,12,1,12,3,12,1
901,10,1,12,3,12,1
902,10,1,12,3,12,6
903,11,2,12,2,12,1
904,12,2,12,3,12,2
905,10,2,12,3,12,1
906,10,3,12,3,12,1
907,10,3,10,3,12,1
908,10,1,12,3,12,1
909,10,3,12,2,12,1
910,10,2,12,2,12,2
911,10,2,12,3,12,2
912,10,2,12,2,12,2
913,10,3,11,3,12,1
914,10,3,12,2,12,1
915,10,2,12,2,12,1
916,10,2,12,2,12,1
917,10,2,12,3,12,1
918,10,2,12,2,12,1
919,10,2,12,2,12,2
920,10,2,10,2,12,1
921,10,3,10,2,12,1
922,10,4,10,2,12,1
923,10,1,12,2,12,1
924,10,2,10,3,12,1
925,10,2,12,3,12,1
926,10,3,12,2,7,1
927,10,2,10,3,12,1
928,10,2,10,3,12,2
929,10,2,12,3,12,1
930,10,2,12,3,12,2
931,10,2,10,2,12,1
932,10,2,10,3,12,1
933,10,2,12,2,12,1
934,10,2,12,2,12,2
935,10,2,12,2,12,1
936,10,2,12,2,12,1
937,10,3,12,2,12,2
938,10,2,12,2,12,1
939,10,2,12,2,12,6
940,10,2,12,3,12,2
941,10,1,12,2,12,7
942,10,1,12,3,12,7
943,10,1,12,3,12,6
944,10,1,12,2,12,7
945,10,1,12,2,12,7
946,10,1,12,2,12,1
947,10,1,12,2,12,1
948,10,1,12,3,7,1
949,10,3,12,2,7,1
950,10,3,12,3,7,1
951,10,3,10,3,7,1
952,10,3,10,3,7,1
953,10,1,10,3,7,1
954,10,1,10,3,7,1
955,10,1,12,3,7,1
956,10,3,12,3,8,1
957,10,1,12,3,8,1
958,10,1,10,3,7,1
959,10,3,12,3,7,1
960,10,3,12,3,7,1
961,10,3,10,3,7,1
962,10,3,12,3,7,1
963,10,1,10,3,7,1
964,10,1,12,2,7,1
965,10,1,12,2,7,1
966,10,1,12,3,7,1
967,10,1,12,2,8,1
968,10,3,10,3,7,1
969,10,3,10,2,7,1
970,10,3,12,2,7,1
971,10,3,12,2,7,1
972,10,3,12,2,7,1
973,10,2,12,2,7,1
974,10,1,12,2,7,1
975,10,3,12,2,7,1
976,10,3,10,2,7,1
977,10,1,12,2,7,1
978,10,1,12,3,7,1
979,10,1,10,2,7,1
980,10,1,12,3,7,1
981,10,1,12,2,7,1
